"","num.shapes","num.cones","dir.per.cone","ec.curve","time"
"1",25,25,5,25,61.56864
"2",25,25,5,50,106.402206
"3",25,25,10,25,139.028615
"4",25,50,5,25,144.462621
"5",25,25,10,50,299.562589
"6",25,50,5,50,292.930303
"7",25,50,10,25,354.589037
"8",25,75,5,25,242.844156
"9",50,25,5,25,128.729791
"10",50,25,5,50,253.633062
"11",25,75,5,50,594.008614
"12",50,25,10,25,324.050202
"13",25,75,10,25,689.096366
"14",50,50,5,25,312.326393
"15",50,25,10,50,773.980893
"16",50,50,5,50,792.550577
"17",50,50,10,25,903.60726
"18",50,75,5,25,582.297087
"19",50,75,5,50,2114.206184
"20",50,75,10,25,2046.645779
"21",75,25,5,25,205.350435
"22",50,50,10,50,3151.632438
"23",75,25,5,50,435.056074
"24",75,25,10,25,549.309204
"25",75,50,5,25,524.897012
"26",75,25,10,50,1543.520021
"27",75,50,5,50,1545.615573
"28",75,50,10,25,1687.70207
"29",75,75,5,25,1037.317179
"30",75,75,5,50,3402.376523
"31",75,75,10,25,3654.192534
"32",75,50,10,50,6736.861733
