"","num.shapes","num.cones","dir.per.cone","ec.curve","time","sd"
"1",25,25,5,25,61.070051,1.481651
"2",25,25,5,50,106.24501,4.274206
"3",25,25,10,25,138.922002,2.112875
"4",25,25,10,50,294.108404,1.738404
"5",25,50,5,25,137.926316,2.428091
"6",25,50,5,50,294.145987,3.206037
"7",25,50,10,25,354.877646,3.540824
"8",25,50,10,50,965.46693,9.754713
"9",25,75,5,25,237.931315,5.049119
"10",25,75,5,50,580.358921,8.813316
"11",25,75,10,25,683.052921,8.720113
"12",50,25,5,25,120.973879,0.724682
"13",50,25,5,50,251.801544,1.921088
"14",50,25,10,25,312.304668,1.534605
"15",50,25,10,50,773.014055,6.14322
"16",50,50,5,25,306.340694,1.521683
"17",50,50,5,50,783.167677,7.060734
"18",50,50,10,25,890.505633,9.487191
"19",50,50,10,50,2894.307553,34.678815
"20",50,75,5,25,560.770361,3.538887
"21",50,75,5,50,1639.205103,16.045925
"22",50,75,10,25,1831.221172,14.285806
"23",75,25,5,25,196.135951,1.416168
"24",75,25,5,50,438.040785,1.745981
"25",75,25,10,25,528.244833,1.668344
"26",75,50,5,25,533.659045,1.947257
"27",75,25,10,50,1521.870823,3.176342
"28",75,50,5,50,1549.924848,7.540425
"29",75,50,10,25,1668.766612,5.787147
"30",75,75,5,25,1017.334388,3.250085
"31",75,75,5,50,3449.410021,9.774652
"32",75,75,10,25,3675.094018,17.90882
"33",75,50,10,50,6683.44049,33.716662
